,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
154,"RT @nlt56lorient: Le Pen menteuse , ignorante , malhonnête face à Macron subtil , responsable , réaliste #2017LeDebat #JeVoteMacron #lependegage ",2,2,2,0,0,1,Nan,2,0,Neu
155,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
156,RT @Henvoaz: Apres ce débat infernal seul et unique constat : ne comptons plus sur la France et ses racailles d'élites pour nous aider. #20… ,2,2,1,1,0,1,0,2,1,-
157,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
158,Apres ce débat infernal seul et unique constat : ne comptons plus sur la France et ses racailles d'élites pour nous aider. #2017LeDebat ,2,2,1,1,0,1,0,2,1,-
159,RT @Kylian_C22: Je veux l'asile politique 😓#2017LeDébat ,2,2,2,1,1,1,Nan,2,1,Neu
160,RT @nlt56lorient: Il y a 25 ans Macron était au collège ! #2017LeDebat ,2,2,2,0,1,0,Nan,2,0,Neu
161,"RT @nlt56lorient: Le Pen menteuse , ignorante , malhonnête face à Macron subtil , responsable , réaliste #2017LeDebat #JeVoteMacron #lependegage ",2,2,2,0,0,1,Nan,2,0,Neu
162,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
163,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
164,RT @nlt56lorient: #2017LeDebat Seul Macron fait des propositions. S'il continue il va parvenir à convaincre Le Pen de voter pour lui ! ,2,2,2,1,0,1,1,2,1,1
165,RT @nlt56lorient: #2017LeDebat @MLP_officiel ne contribue pas du tout à la qualité du débat. Sa mauvaise foi est regrettable et indigne d'u… ,2,2,2,0,0,0,0,2,0,0
166,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
167,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
